User Name,User Profile,Rating,Review Title,Review,Date
BriandeRiancho,www.tripadvisor.com/Profile/BriandeRiancho,5,"Perfect for Truly Local, Inexpensive Nepali Food","For those seeking the truly authentic local style food in Nepal, and not requiring fancy atmosphere and decor, here's your next meal or two. Food is inexpensive, delicious, and simple. Staff is friendly and attendent. Definitely eat here while in KTM. I already have 3x.",20-Feb-20
Quest02378445868,www.tripadvisor.com/Profile/Quest02378445868,5,Excellent food and service,"This restaurant was across from our hotel, Hotel Friends Home, the food was excellent and the service even better. We ate here many times during our stay. Our server Nima offered incredible service with a smile.",08-Jun-23
theGreatAdventurerr,www.tripadvisor.com/Profile/theGreatAdventurerr,5,Excellent thali,"One of the best thali in town ! It's very good, cheap and they give refill! 
Bonus, it's a warm place in winter!",31-Dec-19
chewy3000,www.tripadvisor.com/Profile/chewy3000,5,Authentic Lunch in the busy city with hot refills,"The Thakali Kitchen certainly is a hidden gem and I'm so glad I found it on my last day in Kathmandu. After reading reviews I was able to locate it on Maps.Me and Google by following directions to the Everest Irish Pub and the Hotel...Festoon as it is tucked away nearby. 

I enjoyed the cheaply priced yet delicious quality vegetable Dal Bhat with a set of momos and ginger tea. I was happy to receive complimentary refills on my plate from the staff. This place is a taste of real life with families and locals enjoying lunch on a busy afternoon with efficient service and traditional flavours. Well worth a visit to understand Nepal's lovely food culture.More",19-Mar-18
Martin R,www.tripadvisor.com/Profile/Martin R,5,Best dal bhat in Kathmandu,"I was 3 months in Nepal - 4 weeks in Thamel, Kathmandu. I can warmly recommend Thakali Kitchen as the place where I enjoyed the best dal bhat (or Thakali set how they call it). In the Thakali  kitchen you can meet a lot of...local people - I guess more than 80% are locals. Its thakali set is from a price / performance ratio unbeatable (160 Rs) - as well they have a very good curry . They have a nice garden and very friendly staff. So if you are in Thamel and want to enjoy local food that is the place to go. I was there more than 10 times and it was always excellent.More",19-May-13
WWRovers,www.tripadvisor.com/Profile/WWRovers,4,Traditional thali dishes.,"Traditional thali dishes. Very tasty and friendly service. I have had the mutton thali, with a Cold beer. Very fine tastes and a good quality of rice. Sharing a table with some guys from the UK. Had a great evening - great place to spend...the evening.More",10-Nov-19
SrihariG1,www.tripadvisor.com/Profile/SrihariG1,4,Hearty Simple Nepalese Food,"I wanted to try Nepalese food for the first time and was looking for an authentic experience. The Nepalese 'Thakali' style food is similar to an Indian thali. But the main difference is that the Nepali food is less spicy, and the dhal that they...use is not traditional toor dhal. The meal is simple and hearty. Free refills, definitely try once for authentic taste of Nepal.More",08-Jul-18
ola79,www.tripadvisor.com/Profile/ola79,3,Good but not that good,"It's an inexpensive restaurant that offer local fare but the food is not particulary tasty. The place is very busy and it's hard to get a table, then it's also very laud so if you wish to talk with your friends during dinner it may...be difficult. It has an ambience of a fast food so it's good for quick eats.More",06-Apr-17
Gopinath P,www.tripadvisor.com/Profile/Gopinath P,4,Authentic Nepali Thali,Visited here as it was near to my hotel and was recommended by my hotel staff. Indeed it serves one of the best thali. Being a vegetarian I opted for the vegetarian thali which includes the Daal Baht.,02-Mar-15
Annie G,www.tripadvisor.com/Profile/Annie G,5,Best Nepalese food,"It looks like a canteen but the food is cheap and darn good. Everything is fresh and serve hot. Order their  special thakali thali, masala papad and momo (steam or fried also good). The others like fried noodle, badel chili, mustang coffee and don't miss...out the local beer. There is Everest and Gorkha here but i prefer Gorkha. The service is friendly and is clean.More",17-Dec-14
Dean-Traveller,www.tripadvisor.com/Profile/Dean-Traveller,5,Tourists welcome to taste a little of traditional urban Nepal.,In the streets of Thamel venture upstairs through the non-glamourous entrance and into a bit of real urban Nepal. More authentic than other places we ate with Nepali prices to  match the Nepali food. Vegetable dhal bhat was excellent as was the service to replenish...the dishes if wanted. Lots of Nepali dishes available. Cold Nepali beer to complement the meal. Atmosphere and temperature warmed us on a cold evening.More,28-Dec-19
SpaceCowboy_Faye,www.tripadvisor.com/Profile/SpaceCowboy_Faye,4,First contact with Dal Bhat,"This was our first dinner in Kathmandu and was a good choice indeed, our first contact with the local traditional dish: Dhal Bhat! The restaurant is a little bit out of the standard tourist paths and the atmosphere is a little more Nepalese; many local...people come here to have dinner and actually it was recommended to us from a Nepalese.
We really enjoyed the Dahl Bhat, it was not so spicy and the vegetables tasty and, of course, you can have free refill :)
Worth a dinner, also for the cheap price compared with food quality.More",21-May-19
Fabriz T,www.tripadvisor.com/Profile/Fabriz T,4,Cheap and tasty eats,"Tucked away on the second floor amidst larger shopfronts on Z Street, it is easy to miss this place if you're not looking out for it; which was probably why most of the clientele we saw were locals. Offering simple but tasty fare at great...prices, the free unlimited refills for dal bhat are an added bonus and are sure to fill you up.More",19-Dec-18
Wasin B,www.tripadvisor.com/Profile/Wasin B,4,Good food,"Good food, friendly staff and value for money. Not that I am an expert in Nepal cuisine, but we did enjoy the food here.",01-Nov-18
Sangam_17,www.tripadvisor.com/Profile/Sangam_17,5,Worth the try..,I wanted to try some authentic local cuisine and I was suggested this place. The food thali was in itself different. The food was tasty and worth a try.,17-Sep-18
harry920,www.tripadvisor.com/Profile/harry920,4,Great food,"Worth a trip and very good value. Very traditional, serve good beer and a great way to end a trek. I intend to return on my next trip.",25-Jul-18
KatherineW1188,www.tripadvisor.com/Profile/KatherineW1188,4,Very Good Dhal Bhat,"We came here for our celebratory dinner after returning from our EBC Trek. After two weeks of basic food, it was a very very satisfying meal.

Our mountain guide was the one who brought us here and treated us to dinner. It was so good...More",09-Nov-17
